iter	Passed	Remaining
0	76	76768
1	103	51618
2	135	45162
3	160	39928
4	181	36130
5	202	33469
6	221	31483
7	241	29940
8	260	28738
9	283	28098
10	303	27262
11	325	26795
12	349	26525
13	372	26263
14	395	25943
15	416	25639
16	439	25388
17	462	25258
18	485	25053
19	507	24887
20	530	24745
21	557	24769
22	578	24589
23	602	24501
24	623	24311
25	644	24157
26	666	24025
27	688	23909
28	711	23809
29	734	23756
30	755	23625
31	778	23551
32	801	23498
33	824	23433
34	849	23409
35	872	23352
36	894	23276
37	919	23270
38	943	23244
39	969	23276
40	992	23207
41	1013	23126
42	1037	23091
43	1060	23034
44	1083	22988
45	1106	22946
46	1130	22912
47	1156	22947
48	1184	22992
49	1206	22928
50	1227	22846
51	1247	22751
52	1270	22704
53	1289	22594
54	1309	22504
55	1329	22406
56	1351	22357
57	1371	22282
58	1401	22355
59	1427	22361
60	1447	22279
61	1467	22199
62	1505	22396
63	1536	22471
64	1567	22550
65	1587	22466
66	1608	22402
67	1629	22340
68	1651	22286
69	1673	22239
70	1697	22217
71	1718	22155
72	1740	22103
73	1765	22087
74	1793	22119
75	1819	22124
76	1844	22109
77	1868	22085
78	1892	22068
79	1918	22062
80	1942	22034
81	1962	21970
82	1980	21877
83	2000	21813
84	2025	21802
85	2046	21752
86	2066	21681
87	2085	21615
88	2105	21552
89	2125	21491
90	2145	21428
91	2165	21374
92	2185	21314
93	2204	21247
94	2225	21202
95	2246	21154
96	2261	21051
97	2280	20985
98	2298	20921
99	2317	20857
100	2337	20802
101	2358	20759
102	2375	20688
103	2395	20638
104	2414	20580
105	2437	20554
106	2459	20527
107	2482	20505
108	2504	20472
109	2523	20413
110	2543	20367
111	2561	20312
112	2581	20260
113	2600	20211
114	2620	20166
115	2640	20124
116	2660	20076
117	2679	20027
118	2697	19973
119	2717	19931
120	2737	19888
121	2756	19835
122	2776	19797
123	2795	19748
124	2813	19695
125	2834	19658
126	2855	19625
127	2873	19574
128	2892	19530
129	2911	19485
130	2930	19438
131	2964	19493
132	2998	19545
133	3032	19597
134	3054	19574
135	3074	19530
136	3109	19588
137	3146	19655
138	3176	19673
139	3208	19706
140	3239	19733
141	3265	19732
142	3298	19765
143	3329	19790
144	3360	19813
145	3394	19854
146	3429	19897
147	3464	19943
148	3489	19931
149	3515	19921
150	3537	19891
151	3563	19879
152	3599	19924
153	3645	20027
154	3678	20051
155	3707	20056
156	3741	20091
157	3768	20085
158	3794	20071
159	3820	20058
160	3842	20025
161	3868	20009
162	3902	20038
163	3936	20065
164	3967	20077
165	4010	20150
166	4049	20200
167	4073	20173
168	4096	20140
169	4118	20108
170	4143	20086
171	4167	20061
172	4191	20035
173	4214	20004
174	4238	19980
175	4261	19949
176	4284	19922
177	4309	19902
178	4329	19857
179	4352	19827
180	4374	19795
181	4399	19771
182	4421	19738
183	4445	19713
184	4465	19673
185	4490	19652
186	4515	19629
187	4541	19613
188	4562	19575
189	4583	19541
190	4605	19508
191	4628	19478
192	4650	19446
193	4674	19420
194	4694	19380
195	4716	19346
196	4738	19314
197	4761	19287
198	4782	19248
199	4801	19204
200	4820	19161
201	4840	19123
202	4859	19080
203	4879	19040
204	4898	18995
205	4919	18960
206	4937	18915
207	4956	18873
208	4975	18830
209	4996	18795
210	5020	18774
211	5047	18760
212	5066	18720
213	5086	18680
214	5106	18642
215	5124	18600
216	5142	18556
217	5163	18521
218	5181	18479
219	5205	18454
220	5223	18412
221	5243	18375
222	5262	18336
223	5281	18297
224	5301	18261
225	5319	18217
226	5338	18178
227	5358	18142
228	5377	18105
229	5397	18070
230	5417	18034
231	5435	17992
232	5453	17950
233	5472	17914
234	5493	17881
235	5512	17845
236	5531	17808
237	5551	17773
238	5569	17734
239	5590	17702
240	5609	17667
241	5628	17631
242	5650	17604
243	5673	17577
244	5692	17542
245	5714	17515
246	5734	17482
247	5756	17455
248	5776	17423
249	5798	17395
250	5817	17360
251	5838	17331
252	5857	17295
253	5879	17268
254	5901	17240
255	5920	17207
256	5940	17175
257	5962	17146
258	5983	17119
259	6003	17085
260	6024	17058
261	6044	17025
262	6065	16997
263	6085	16966
264	6107	16938
265	6126	16904
266	6145	16871
267	6166	16841
268	6187	16814
269	6207	16782
270	6227	16752
271	6246	16718
272	6267	16689
273	6287	16659
274	6309	16633
275	6329	16603
276	6350	16575
